FIELD,TP,TN,FP,FN,P,R,F1,A
product,217,0,91,142,0.7045454545454546,0.6044568245125348,0.6506746626686657,0.4822222222222222
quantity,223,0,76,105,0.745819397993311,0.6798780487804879,0.7113237639553429,0.551980198019802
total_amount,47,0,4,47,0.9215686274509803,0.5,0.6482758620689656,0.47959183673469385
price,256,0,24,100,0.9142857142857143,0.7191011235955056,0.8050314465408805,0.6736842105263158
supplier_name,29,0,12,60,0.7073170731707317,0.3258426966292135,0.44615384615384623,0.2871287128712871
invoice_number,41,0,4,52,0.9111111111111111,0.44086021505376344,0.5942028985507247,0.422680412371134
email,41,0,4,12,0.9111111111111111,0.7735849056603774,0.8367346938775511,0.7192982456140351
invoice_date,48,0,6,37,0.8888888888888888,0.5647058823529412,0.6906474820143885,0.5274725274725275
