FIELD,TP,TN,FP,FN,P,R,F1,A
product,320,0,39,39,0.8913649025069638,0.8913649025069638,0.8913649025069638,0.8040201005025126
quantity,6,0,329,322,0.01791044776119403,0.018292682926829267,0.01809954751131222,0.0091324200913242
total_amount,18,0,73,76,0.1978021978021978,0.19148936170212766,0.19459459459459455,0.10778443113772455
price,294,0,61,62,0.828169014084507,0.8258426966292135,0.8270042194092828,0.7050359712230215
supplier_name,67,0,12,22,0.8481012658227848,0.7528089887640449,0.7976190476190476,0.6633663366336634
invoice_number,79,0,9,14,0.8977272727272727,0.8494623655913979,0.8729281767955801,0.7745098039215687
email,44,0,14,9,0.7586206896551724,0.8301886792452831,0.7927927927927928,0.6567164179104478
invoice_date,7,0,78,78,0.08235294117647059,0.08235294117647059,0.08235294117647059,0.04294478527607362
