FIELD,TP,TN,FP,FN,P,R,F1,A
product,354,0,5,5,0.9860724233983287,0.9860724233983287,0.9860724233983287,0.9725274725274725
quantity,322,0,13,6,0.9611940298507463,0.9817073170731707,0.971342383107089,0.9442815249266863
total_amount,79,0,12,15,0.8681318681318682,0.8404255319148937,0.8540540540540541,0.7452830188679245
price,285,0,70,71,0.8028169014084507,0.800561797752809,0.8016877637130801,0.6690140845070423
supplier_name,74,0,5,15,0.9367088607594937,0.8314606741573034,0.880952380952381,0.7872340425531915
invoice_number,85,0,3,8,0.9659090909090909,0.9139784946236559,0.9392265193370166,0.8854166666666666
email,53,0,5,0,0.9137931034482759,1.0,0.9549549549549551,0.9137931034482759
invoice_date,82,0,3,3,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.9318181818181818
