FIELD,TP,TN,FP,FN,P,R,F1,A
product,217,0,91,142,0.7045454545454546,0.6044568245125348,0.6506746626686657,0.4822222222222222
quantity,3,0,296,325,0.010033444816053512,0.009146341463414634,0.009569377990430622,0.004807692307692308
total_amount,8,0,43,86,0.1568627450980392,0.0851063829787234,0.1103448275862069,0.058394160583941604
price,241,0,39,115,0.8607142857142858,0.6769662921348315,0.7578616352201257,0.610126582278481
supplier_name,29,0,12,60,0.7073170731707317,0.3258426966292135,0.44615384615384623,0.2871287128712871
invoice_number,41,0,4,52,0.9111111111111111,0.44086021505376344,0.5942028985507247,0.422680412371134
email,41,0,4,12,0.9111111111111111,0.7735849056603774,0.8367346938775511,0.7192982456140351
invoice_date,3,0,51,82,0.05555555555555555,0.03529411764705882,0.04316546762589928,0.022058823529411766
